-------------------------
PID Controller Parameters:
Position PID: P: 1, I: 0, D: 1
1744634028.336810686 Received IMU Angular Velocity - [0.00603857, -0.00358902, 0.00290185]
1744634028.354214892 Received IMU Angular Velocity - [0.00390804, 0.00280257, 0.000771319]
1744634028.354321926 Received IMU Angular Velocity - [-0.00248355, 0.0049331, 0.00396711]
1744634028.354365412 Received IMU Angular Velocity - [0.00816909, -0.000393224, 0.00183658]
1744634028.357831841 Received IMU Angular Velocity - [0.0102996, -0.00678481, 0.00183658]
1744634028.362678717 Received IMU Angular Velocity - [0.00603857, -0.00891534, 0.00396711]
1744634028.370561323 Received IMU Angular Velocity - [0.00284277, -0.00465428, 0.00290185]
1744634028.372654344 Received IMU Angular Velocity - [0.00177751, 0.000672041, 0.00183658]
1744634028.376747240 Received IMU Angular Velocity - [0.000712243, 0.0049331, 0.00396711]
1744634028.382712783 Received IMU Angular Velocity - [0.00603857, 0.00280257, 0.00290185]
1744634028.386848908 Received IMU Angular Velocity - [0.00816909, -0.00145849, 0.00290185]
1744634028.392605725 Received IMU Angular Velocity - [0.00816909, -0.00891534, 0.000771319]
1744634028.396863125 Received IMU Angular Velocity - [0.00710383, -0.0110459, 0.00290185]
1744634028.402499756 Received IMU Angular Velocity - [0.00710383, -0.00571955, 0.00290185]
1744634028.406819457 Received IMU Angular Velocity - [0.000712243, 0.0017373, 0.00503238]
1744634028.412627696 Received IMU Angular Velocity - [-0.00248355, 0.0049331, 0.00396711]
1744634028.417025697 Received IMU Angular Velocity - [0.0049733, 0.00280257, 0.000771319]
1744634028.422476352 Received IMU Angular Velocity - [0.0124302, -0.00358902, 0.000771319]
1744634028.426819924 Received IMU Angular Velocity - [0.00923436, -0.00891534, 0.00290185]
1744634028.432615299 Received IMU Angular Velocity - [0.00816909, -0.0099806, 0.00396711]
1744634028.436958359 Received IMU Angular Velocity - [0.00816909, -0.00358902, 0.00183658]
1744634028.786743727 Received IMU Angular Velocity - [0.00710383, -0.00571955, 0.00183658]
1744634028.792627035 Received IMU Angular Velocity - [0.0049733, -0.0099806, 0.00290185]
1744634028.796673180 Received IMU Angular Velocity - [-0.000353022, -0.00891534, 0.00290185]
1744634028.802595686 Received IMU Angular Velocity - [-0.00141829, -0.00145849, 0.00183658]
1744634028.806768065 Received IMU Angular Velocity - [0.0049733, 0.00599836, 0.00183658]
1744634028.812657004 Received IMU Angular Velocity - [-0.00141829, 0.00599836, 0.00183658]
1744634028.816783530 Received IMU Angular Velocity - [0.00284277, -0.000393224, 0.00290185]
1744634028.822539195 Received IMU Angular Velocity - [0.00923436, -0.00678481, 0.00183658]
1744634028.826748661 Received IMU Angular Velocity - [0.00923436, -0.0110459, 0.00290185]
1744634028.832419883 Received IMU Angular Velocity - [0.000712243, -0.00571955, 0.00290185]
1744634029.112566255 Received IMU Angular Velocity - [-0.00248355, 0.00706363, 0.00396711]
1744634029.426735795 Received IMU Angular Velocity - [0.0049733, -0.00891534, 0.00396711]
1744634029.512568429 Received IMU Angular Velocity - [0.0049733, 0.00599836, 0.00503238]
1744634029.516634382 Received IMU Angular Velocity - [0.0049733, 0.00599836, 0.00503238]
1744634029.522497850 Received IMU Angular Velocity - [0.0124302, -0.00678481, 0.00183658]
1744634029.526849966 Received IMU Angular Velocity - [0.0124302, -0.00678481, 0.00183658]
1744634029.532649245 Received IMU Angular Velocity - [0.00390804, -0.00358902, 0.00290185]
1744634029.536806457 Received IMU Angular Velocity - [0.00390804, -0.00358902, 0.00290185]
1744634029.542522124 Received IMU Angular Velocity - [-0.000353022, 0.00812889, 0.00183658]
1744634029.546734566 Received IMU Angular Velocity - [-0.000353022, 0.00812889, 0.00183658]
1744634029.552539893 Received IMU Angular Velocity - [0.019887, -0.00785008, 0.00396711]
1744634029.556691922 Received IMU Angular Velocity - [0.019887, -0.00785008, 0.00396711]
1744634029.902395242 Received IMU Angular Velocity - [0.00603857, -0.00678481, 0.00396711]
1744634030.152344923 Received IMU Angular Velocity - [0.0124302, 0.0049331, 0.00183658]
1744634030.156642929 Received IMU Angular Velocity - [0.0049733, -0.00145849, 0.00183658]
1744634030.162483838 Received IMU Angular Velocity - [0.00603857, -0.00785008, 0.00290185]
1744634030.166844849 Received IMU Angular Velocity - [0.00923436, -0.0110459, 0.00503238]
1744634030.172551493 Received IMU Angular Velocity - [0.00603857, -0.00571955, 0.00396711]
1744634030.176571720 Received IMU Angular Velocity - [-0.00567934, -0.000393224, 0.00290185]
1744634030.182491441 Received IMU Angular Velocity - [0.0049733, 0.0049331, 0.000771319]
1744634030.187393035 Received IMU Angular Velocity - [0.00816909, 0.00386783, 0.00183658]
1744634030.192601878 Received IMU Angular Velocity - [0.00390804, -0.00358902, 0.00183658]
1744634030.196660887 Received IMU Angular Velocity - [0.00390804, 0.00706363, 0.00396711]
1744634030.202484805 Received IMU Angular Velocity - [0.0390618, -0.0302206, 0.00396711]
1744634030.206814809 Received IMU Angular Velocity - [-0.0152667, 0.0017373, 0.00290185]
Received Odometry - Position: x=0.119912, y=0.0701074, Linear Velocity: -0.00239621
Current yaw: 3.95413e-05 (roll: -0.0136572, pitch: -0.00647691)
1744634030.212493038 Received IMU Angular Velocity - [-0.00887514, 0.0113247, 0.00183658]
1744634030.216713895 Received IMU Angular Velocity - [0.0145607, -0.00465428, 0.00290185]
1744634030.222482264 Received IMU Angular Velocity - [0.0113649, -0.000393224, 0.00290185]
1744634030.227092607 Received IMU Angular Velocity - [-0.00354881, 0.00280257, 0.00183658]
1744634030.232504768 Received IMU Angular Velocity - [0.0220175, -0.0206332, 0.00396711]
1744634030.236619135 Received IMU Angular Velocity - [0.0049733, -0.0110459, 0.00396711]
1744634030.242653699 Received IMU Angular Velocity - [-0.0110057, 0.0049331, 0.00290185]
1744634030.246883100 Received IMU Angular Velocity - [0.0166912, -0.00252375, 0.00183658]
1744634030.252466197 Received IMU Angular Velocity - [0.00923436, 0.00280257, 0.00183658]
1744634030.256776587 Received IMU Angular Velocity - [-0.00461408, 0.00599836, 0.00183658]
1744634030.262464511 Received IMU Angular Velocity - [0.019887, -0.0110459, 0.00503238]
1744634030.266811570 Received IMU Angular Velocity - [0.00923436, -0.0110459, 0.00396711]
1744634030.272533669 Received IMU Angular Velocity - [-0.00567934, -0.00358902, 0.00290185]
1744634030.276661955 Received IMU Angular Velocity - [0.00816909, -0.00465428, 0.00290185]
-------------------------
[2025-04-14_20-33-50.281] No B-spline trajectory received.
-------------------------
1744634030.282536239 Received IMU Angular Velocity - [0.00284277, 0.00386783, 0.00396711]
1744634030.286808742 Received IMU Angular Velocity - [-0.000353022, 0.00812889, 0.000771319]
1744634030.292284580 Received IMU Angular Velocity - [0.0177565, -0.00358902, -0.000293946]
1744634030.296623416 Received IMU Angular Velocity - [0.0102996, -0.00891534, 0.00290185]
1744634030.302587455 Received IMU Angular Velocity - [-0.00141829, -0.00678481, 0.00290185]
1744634030.306846743 Received IMU Angular Velocity - [0.00603857, -0.00678481, 0.00183658]
Received Odometry - Position: x=0.126528, y=0.110929, Linear Velocity: 0.00569266
Current yaw: 0.00528283 (roll: -0.0107621, pitch: -0.00434767)
1744634030.312583657 Received IMU Angular Velocity - [0.00390804, 0.00280257, 0.00183658]
1744634030.316686024 Received IMU Angular Velocity - [-0.00674461, 0.00812889, 0.000771319]
1744634030.322479704 Received IMU Angular Velocity - [0.0134954, -0.000393224, 0.00183658]
1744634030.327151196 Received IMU Angular Velocity - [0.0156259, -0.00465428, 0.00716291]
1744634030.332460258 Received IMU Angular Velocity - [0.00390804, -0.0099806, 0.00183658]
1744634030.336748568 Received IMU Angular Velocity - [0.00284277, -0.0121111, 0.00183658]
1744634030.342466763 Received IMU Angular Velocity - [0.00390804, -0.00358902, 0.000771319]
1744634030.346931129 Received IMU Angular Velocity - [-0.00248355, 0.0049331, 0.00396711]
1744634030.352507155 Received IMU Angular Velocity - [0.00390804, 0.0049331, 0.00503238]
1744634030.356594067 Received IMU Angular Velocity - [0.0102996, 0.0017373, 0.00290185]
1744634030.362460799 Received IMU Angular Velocity - [0.00710383, -0.0121111, 0.00183658]
1744634030.366696343 Received IMU Angular Velocity - [0.00710383, -0.0121111, 0.00183658]
Received Odometry - Position: x=0.111509, y=0.0752705, Linear Velocity: -0.14986
Current yaw: 0.00154779 (roll: -0.0136577, pitch: -0.00214102)
1744634030.372345358 Received IMU Angular Velocity - [0.00390804, -0.00571955, 0.00183658]
1744634030.376754078 Received IMU Angular Velocity - [-0.00354881, -0.00145849, 0.00396711]
-------------------------
[2025-04-14_20-33-50.381] No B-spline trajectory received.
-------------------------
1744634030.382409044 Received IMU Angular Velocity - [0.0113649, 0.00599836, 0.00290185]
1744634030.386732873 Received IMU Angular Velocity - [0.0113649, 0.00599836, 0.00290185]
1744634030.392475259 Received IMU Angular Velocity - [0.00390804, -0.00678481, 0.00396711]
1744634030.396603224 Received IMU Angular Velocity - [0.00390804, -0.00678481, 0.00396711]
1744634030.402490723 Received IMU Angular Velocity - [0.00390804, -0.00358902, 0.00396711]
Received Odometry - Position: x=0.109041, y=0.0559162, Linear Velocity: -0.0773361
Current yaw: 0.00321374 (roll: -0.0136131, pitch: -0.00466376)
1744634030.406725116 Received IMU Angular Velocity - [0.00390804, -0.00358902, 0.00396711]
1744634030.412598888 Received IMU Angular Velocity - [0.00710383, 0.00706363, 0.00183658]
1744634030.416923004 Received IMU Angular Velocity - [0.00710383, 0.00706363, 0.00183658]
1744634030.422308223 Received IMU Angular Velocity - [0.00923436, -0.00465428, 0.00396711]
1744634030.426687985 Received IMU Angular Velocity - [0.00923436, -0.00465428, 0.00396711]
1744634030.432618394 Received IMU Angular Velocity - [0.00710383, -0.0110459, 0.00503238]
1744634030.436701914 Received IMU Angular Velocity - [0.00710383, -0.0110459, 0.00503238]
1744634030.442491370 Received IMU Angular Velocity - [-0.00141829, 0.00280257, 0.00290185]
1744634030.446748577 Received IMU Angular Velocity - [-0.00141829, 0.00280257, 0.00290185]
1744634030.452508914 Received IMU Angular Velocity - [0.00710383, 0.00280257, 0.00290185]
1744634030.456871429 Received IMU Angular Velocity - [0.00710383, 0.00280257, 0.00290185]
1744634030.462476157 Received IMU Angular Velocity - [0.0102996, -0.0121111, 0.00290185]
1744634030.466690519 Received IMU Angular Velocity - [0.0102996, -0.0121111, 0.00290185]
1744634030.472493830 Received IMU Angular Velocity - [-0.00461408, -0.00145849, 0.00183658]
1744634030.476807899 Received IMU Angular Velocity - [-0.00461408, -0.00145849, 0.00183658]
-------------------------
[2025-04-14_20-33-50.481] No B-spline trajectory received.
-------------------------
1744634030.482763811 Received IMU Angular Velocity - [0.00390804, 0.0049331, 0.00290185]
1744634030.486725065 Received IMU Angular Velocity - [0.00710383, 0.000672041, 0.000771319]
1744634030.492704687 Received IMU Angular Velocity - [0.0113649, -0.00678481, -0.000293946]
Received Odometry - Position: x=0.113179, y=0.0711151, Linear Velocity: -0.0241481
Current yaw: 0.00308303 (roll: -0.0123671, pitch: -0.00590793)
1744634030.496713107 Received IMU Angular Velocity - [0.00923436, -0.00891534, 0.00183658]
1744634030.502480291 Received IMU Angular Velocity - [-0.00248355, -0.00571955, 0.00183658]
1744634030.506646783 Received IMU Angular Velocity - [0.00177751, 0.0017373, 0.000771319]
1744634030.512356499 Received IMU Angular Velocity - [0.00603857, 0.0049331, 0.00396711]
1744634030.516692231 Received IMU Angular Velocity - [0.0049733, 0.00386783, 0.00503238]
1744634030.522487830 Received IMU Angular Velocity - [0.0124302, -0.00252375, 0.00183658]
1744634030.526798699 Received IMU Angular Velocity - [0.0102996, -0.0099806, 0.00183658]
1744634030.532645400 Received IMU Angular Velocity - [-0.000353022, -0.0110459, 0.00290185]
Received Odometry - Position: x=0.118763, y=0.0665042, Linear Velocity: 0.0186395
Current yaw: 0.00143387 (roll: -0.0139673, pitch: -0.00464447)
1744634030.536589887 Received IMU Angular Velocity - [0.00177751, -0.00571955, 0.000771319]
1744634030.542523720 Received IMU Angular Velocity - [0.00177751, 0.000672041, 0.00290185]
1744634030.546805886 Received IMU Angular Velocity - [-0.000353022, 0.00706363, 0.00290185]
1744634030.552340922 Received IMU Angular Velocity - [0.00284277, 0.0049331, 0.00290185]
1744634030.556707500 Received IMU Angular Velocity - [0.0124302, -0.00358902, 0.00183658]
1744634030.562376546 Received IMU Angular Velocity - [0.00816909, -0.00891534, 0.00290185]
1744634030.566693463 Received IMU Angular Velocity - [-0.000353022, -0.0099806, 0.00183658]
1744634030.572478950 Received IMU Angular Velocity - [0.00603857, -0.00358902, 0.00290185]
1744634030.576791612 Received IMU Angular Velocity - [0.00177751, 0.00386783, 0.00609764]
-------------------------
[2025-04-14_20-33-50.581] No B-spline trajectory received.
-------------------------
1744634030.582672135 Received IMU Angular Velocity - [0.00284277, 0.0049331, 0.00396711]
1744634030.586698026 Received IMU Angular Velocity - [0.0124302, 0.000672041, 0.000771319]
1744634030.592499673 Received IMU Angular Velocity - [0.00816909, -0.00571955, 0.00503238]
1744634030.596616727 Received IMU Angular Velocity - [0.0049733, -0.00891534, 0.00503238]
1744634030.602445253 Received IMU Angular Velocity - [0.00390804, -0.00678481, 0.00396711]
1744634030.606810135 Received IMU Angular Velocity - [-0.000353022, 0.000672041, 0.00183658]
1744634030.612295797 Received IMU Angular Velocity - [-0.00141829, 0.0049331, 0.00290185]
1744634030.616689031 Received IMU Angular Velocity - [0.00923436, 0.0049331, 0.00396711]
1744634030.622473846 Received IMU Angular Velocity - [0.00816909, -0.00252375, 0.00290185]
1744634030.626818410 Received IMU Angular Velocity - [0.00284277, -0.0099806, -0.000293946]
Received Odometry - Position: x=0.13019, y=0.0792724, Linear Velocity: 0.0637991
Current yaw: 0.00299849 (roll: -0.0128362, pitch: -0.00616143)
1744634030.632392068 Received IMU Angular Velocity - [0.00816909, -0.0121111, 0.000771319]
1744634030.636646428 Received IMU Angular Velocity - [0.00710383, -0.00678481, 0.00503238]
1744634030.642427948 Received IMU Angular Velocity - [-0.00461408, -0.000393224, 0.00183658]
1744634030.646829725 Received IMU Angular Velocity - [0.00177751, 0.00599836, 0.000771319]
1744634030.653172370 Received IMU Angular Velocity - [0.0145607, 0.00386783, 0.00290185]
1744634030.656671662 Received IMU Angular Velocity - [0.00816909, -0.000393224, 0.00183658]
1744634030.663525163 Received IMU Angular Velocity - [0.00710383, -0.00785008, 0.000771319]
1744634030.666814736 Received IMU Angular Velocity - [0.00816909, -0.0099806, 0.00396711]
1744634030.672430984 Received IMU Angular Velocity - [0.000712243, -0.00465428, 0.00183658]
1744634030.676723774 Received IMU Angular Velocity - [-0.000353022, 0.00280257, 0.00183658]
Received Odometry - Position: x=0.13811, y=0.0774915, Linear Velocity: 0.0712597
Current yaw: 0.00153606 (roll: -0.0130976, pitch: -0.00344128)
-------------------------
[2025-04-14_20-33-50.681] No B-spline trajectory received.
-------------------------
1744634030.682597418 Received IMU Angular Velocity - [0.00816909, 0.00599836, 0.00183658]
1744634030.686698569 Received IMU Angular Velocity - [0.00603857, 0.00280257, 0.00290185]
1744634030.692497304 Received IMU Angular Velocity - [0.00816909, -0.00465428, -0.000293946]
1744634030.696790190 Received IMU Angular Velocity - [0.0156259, -0.00785008, 0.00183658]
1744634030.702475011 Received IMU Angular Velocity - [0.00284277, -0.00785008, 0.00503238]
1744634030.706614976 Received IMU Angular Velocity - [-0.00248355, -0.00252375, 0.00396711]
1744634030.712495883 Received IMU Angular Velocity - [0.00284277, 0.00386783, 0.00503238]
1744634030.716566956 Received IMU Angular Velocity - [0.00923436, 0.00386783, 0.00503238]
Received Odometry - Position: x=0.13789, y=0.0796166, Linear Velocity: 0.0495065
Current yaw: 0.00255042 (roll: -0.0132858, pitch: -0.00459692)
1744634030.722489365 Received IMU Angular Velocity - [0.00816909, -0.000393224, 0.000771319]
1744634030.726575285 Received IMU Angular Velocity - [0.0134954, -0.00678481, 0.00290185]
1744634030.732425794 Received IMU Angular Velocity - [0.00923436, -0.0110459, 0.00609764]
1744634030.736697945 Received IMU Angular Velocity - [-0.00141829, -0.00785008, 0.00396711]
1744634030.742457034 Received IMU Angular Velocity - [-0.000353022, -0.00145849, 0.00183658]
1744634030.746669092 Received IMU Angular Velocity - [0.00816909, 0.0049331, 0.00396711]
1744634030.752407350 Received IMU Angular Velocity - [0.00603857, 0.00599836, 0.00290185]
1744634030.756711979 Received IMU Angular Velocity - [0.0113649, -0.000393224, 0.00396711]
