-------------------------
PID Controller Parameters:
Position PID: P: 1, I: 0, D: 1
1744200969.262207195 Received IMU Angular Velocity - [0.0102996, 0.000672041, 0.00503238]
1744200969.268112847 Received IMU Angular Velocity - [0.00816909, -0.00571955, 0.00396711]
1744200969.272372168 Received IMU Angular Velocity - [0.0049733, -0.0110459, 0.00609764]
1744200969.278087510 Received IMU Angular Velocity - [0.00603857, -0.00891534, 0.00929343]
1744200969.282359759 Received IMU Angular Velocity - [0.000712243, -0.00145849, 0.00822817]
1744200969.288127422 Received IMU Angular Velocity - [-0.00461408, 0.00706363, 0.00290185]
1744200969.292347190 Received IMU Angular Velocity - [0.000712243, 0.00599836, 0.00396711]
1744200969.298042018 Received IMU Angular Velocity - [0.00390804, 0.0017373, 0.00822817]
1744200969.302432288 Received IMU Angular Velocity - [0.00923436, -0.00571955, 0.00609764]
1744200969.308113452 Received IMU Angular Velocity - [0.0102996, -0.0110459, 0.00396711]
1744200969.312333284 Received IMU Angular Velocity - [0.00390804, -0.00785008, 0.00609764]
1744200969.318028080 Received IMU Angular Velocity - [-0.000353022, 0.0017373, 0.00396711]
1744200969.322266280 Received IMU Angular Velocity - [-0.000353022, 0.0049331, 0.00183658]
1744200969.328063513 Received IMU Angular Velocity - [-0.000353022, 0.00599836, 0.00503238]
1744200969.332433942 Received IMU Angular Velocity - [0.00710383, 0.000672041, 0.00716291]
1744200969.338105793 Received IMU Angular Velocity - [0.00816909, -0.00678481, 0.00290185]
1744200969.342357434 Received IMU Angular Velocity - [0.0049733, -0.00785008, 0.00396711]
1744200969.348159370 Received IMU Angular Velocity - [-0.000353022, -0.00358902, 0.00290185]
1744200969.352142873 Received IMU Angular Velocity - [-0.00141829, 0.00280257, 0.00609764]
1744200969.358191827 Received IMU Angular Velocity - [0.00284277, 0.00599836, 0.00290185]
1744200969.362303302 Received IMU Angular Velocity - [0.00603857, 0.00280257, 0.00290185]
1744200969.368089814 Received IMU Angular Velocity - [0.0113649, -0.00465428, 0.00503238]
1744200969.372340303 Received IMU Angular Velocity - [0.00710383, -0.0099806, 0.00396711]
1744200969.378089533 Received IMU Angular Velocity - [0.0049733, -0.00891534, 0.00503238]
1744200969.382253779 Received IMU Angular Velocity - [0.000712243, -0.00358902, 0.00503238]
1744200969.388091588 Received IMU Angular Velocity - [-0.00248355, 0.0049331, 0.00716291]
1744200969.392227225 Received IMU Angular Velocity - [-0.000353022, 0.00706363, 0.00396711]
1744200969.398076811 Received IMU Angular Velocity - [0.00177751, 0.00280257, 0.00396711]
1744200969.402279138 Received IMU Angular Velocity - [0.00710383, -0.00465428, 0.00609764]
1744200969.408033873 Received IMU Angular Velocity - [0.00816909, -0.0110459, 0.00503238]
1744200969.412496593 Received IMU Angular Velocity - [0.00390804, -0.00891534, 0.00290185]
1744200969.417876978 Received IMU Angular Velocity - [0.000712243, -0.00145849, 0.00396711]
1744200969.422254671 Received IMU Angular Velocity - [-0.00248355, 0.00386783, 0.00503238]
1744200969.428107170 Received IMU Angular Velocity - [-0.000353022, 0.0049331, 0.00609764]
1744200969.432409980 Received IMU Angular Velocity - [0.0102996, 0.0017373, 0.00396711]
1744200969.437960868 Received IMU Angular Velocity - [0.00710383, -0.00465428, 0.00503238]
1744200969.442271550 Received IMU Angular Velocity - [0.00710383, -0.00891534, 0.00503238]
1744200969.448081967 Received IMU Angular Velocity - [0.00284277, -0.00465428, 0.00290185]
1744200969.452177538 Received IMU Angular Velocity - [-0.00567934, 0.00386783, 0.00183658]
1744200969.458067510 Received IMU Angular Velocity - [0.000712243, 0.00706363, 0.00503238]
1744200969.462147592 Received IMU Angular Velocity - [0.00390804, 0.00386783, 0.00290185]
1744200969.468147456 Received IMU Angular Velocity - [0.00816909, -0.00252375, 0.00183658]
1744200969.472186673 Received IMU Angular Velocity - [0.0102996, -0.0099806, 0.00183658]
1744200969.480471994 Received IMU Angular Velocity - [0.0049733, -0.0110459, 0.00396711]
1744200969.482271355 Received IMU Angular Velocity - [-0.000353022, -0.00358902, 0.00396711]
1744200969.487923206 Received IMU Angular Velocity - [-0.00248355, 0.00386783, 0.00396711]
1744200969.492290883 Received IMU Angular Velocity - [0.00390804, 0.00706363, 0.00396711]
1744200969.498062098 Received IMU Angular Velocity - [0.0049733, -0.00358902, 0.00396711]
1744200969.502407918 Received IMU Angular Velocity - [0.0049733, -0.00358902, 0.00396711]
1744200969.508072794 Received IMU Angular Velocity - [0.0049733, -0.0099806, 0.00609764]
1744200969.512322834 Received IMU Angular Velocity - [0.0049733, -0.0099806, 0.00609764]
1744200969.518071265 Received IMU Angular Velocity - [-0.00141829, 0.00386783, 0.00503238]
1744200969.522200981 Received IMU Angular Velocity - [-0.00141829, 0.00386783, 0.00503238]
1744200969.528103785 Received IMU Angular Velocity - [0.0049733, 0.00280257, 0.00716291]
1744200969.532523752 Received IMU Angular Velocity - [0.0049733, 0.00280257, 0.00716291]
1744200969.537903657 Received IMU Angular Velocity - [0.0102996, -0.00785008, 0.00609764]
1744200969.542341768 Received IMU Angular Velocity - [0.0102996, -0.00785008, 0.00609764]
1744200969.548060118 Received IMU Angular Velocity - [-0.00248355, -0.000393224, 0.00716291]
1744200969.552427603 Received IMU Angular Velocity - [-0.00248355, -0.000393224, 0.00716291]
1744200969.558064925 Received IMU Angular Velocity - [0.00177751, 0.0049331, 0.00716291]
1744200969.562296053 Received IMU Angular Velocity - [0.00177751, 0.0049331, 0.00716291]
1744200969.568080229 Received IMU Angular Velocity - [0.00710383, -0.00785008, 0.000771319]
1744200969.572224826 Received IMU Angular Velocity - [0.00710383, -0.00785008, 0.000771319]
1744200969.578066027 Received IMU Angular Velocity - [-0.000353022, -0.00571955, 0.00503238]
1744200969.582414920 Received IMU Angular Velocity - [-0.000353022, -0.00571955, 0.00503238]
1744200969.588146517 Received IMU Angular Velocity - [0.00603857, 0.00706363, 0.00290185]
1744200969.592295338 Received IMU Angular Velocity - [0.00603857, 0.00706363, 0.00290185]
1744200969.598221087 Received IMU Angular Velocity - [0.00177751, -0.00145849, 0.00503238]
1744200969.602326099 Received IMU Angular Velocity - [0.00177751, -0.00145849, 0.00503238]
1744200969.608045184 Received IMU Angular Velocity - [0.0102996, -0.00891534, 0.00183658]
1744200969.612767754 Received IMU Angular Velocity - [-0.000353022, -0.00358902, 0.00503238]
1744200969.618069608 Received IMU Angular Velocity - [-0.000353022, 0.00386783, 0.00503238]
1744200969.622410180 Received IMU Angular Velocity - [-0.00248355, 0.0049331, 0.00183658]
1744200969.628033998 Received IMU Angular Velocity - [0.000712243, 0.00280257, 0.00396711]
1744200969.632410859 Received IMU Angular Velocity - [0.0049733, -0.00252375, 0.00609764]
1744200969.638070774 Received IMU Angular Velocity - [0.0102996, -0.00678481, 0.00290185]
1744200969.642459156 Received IMU Angular Velocity - [0.00390804, -0.00678481, 0.00183658]
1744200969.648037532 Received IMU Angular Velocity - [-0.00354881, -0.000393224, 0.00609764]
1744200969.652693476 Received IMU Angular Velocity - [-0.00248355, 0.00599836, 0.00822817]
1744200969.658193929 Received IMU Angular Velocity - [0.00603857, 0.0049331, 0.00503238]
1744200969.662361407 Received IMU Angular Velocity - [0.00923436, 0.000672041, 0.00503238]
1744200969.668074156 Received IMU Angular Velocity - [0.0102996, -0.00785008, 0.00716291]
1744200969.672405736 Received IMU Angular Velocity - [0.00816909, -0.0121111, 0.00609764]
1744200969.678267930 Received IMU Angular Velocity - [-0.000353022, -0.00571955, 0.00503238]
1744200969.682336268 Received IMU Angular Velocity - [-0.00248355, 0.0017373, 0.00503238]
1744200969.688097691 Received IMU Angular Velocity - [-0.000353022, 0.00599836, 0.00716291]
1744200969.748080165 Received IMU Angular Velocity - [-0.00354881, -0.00358902, 0.00183658]
1744200969.752322590 Received IMU Angular Velocity - [-0.00354881, 0.00386783, 0.00396711]
1744200969.758116398 Received IMU Angular Velocity - [0.00390804, 0.00386783, 0.00716291]
1744200969.762229025 Received IMU Angular Velocity - [0.00923436, -0.000393224, 0.00503238]
1744200969.768036146 Received IMU Angular Velocity - [0.0113649, -0.00571955, 0.00183658]
1744200969.772378158 Received IMU Angular Velocity - [0.00816909, -0.0099806, 0.00609764]
1744200969.777895572 Received IMU Angular Velocity - [0.00284277, -0.00571955, 0.00716291]
1744200969.782254449 Received IMU Angular Velocity - [-0.00461408, 0.000672041, 0.00503238]
1744200969.788038272 Received IMU Angular Velocity - [-0.00354881, 0.00706363, 0.00609764]
1744200969.792282233 Received IMU Angular Velocity - [0.00177751, 0.0049331, 0.00503238]
1744200969.968038401 Received IMU Angular Velocity - [0.00816909, -0.00571955, 0.00396711]
1744200969.972341660 Received IMU Angular Velocity - [0.0113649, -0.00891534, 0.00503238]
1744200969.978056777 Received IMU Angular Velocity - [0.00177751, -0.00785008, 0.00290185]
1744200969.982314882 Received IMU Angular Velocity - [-0.000353022, -0.000393224, 0.00290185]
1744200969.988055440 Received IMU Angular Velocity - [-0.00354881, 0.00386783, 0.00503238]
1744200969.992198021 Received IMU Angular Velocity - [0.000712243, 0.00706363, 0.00609764]
1744200969.998063511 Received IMU Angular Velocity - [0.00816909, 0.00386783, 0.00183658]
1744200970.002159754 Received IMU Angular Velocity - [0.0124302, -0.00465428, 0.00290185]
1744200970.008031997 Received IMU Angular Velocity - [0.00816909, -0.00891534, 0.00609764]
1744200970.012471197 Received IMU Angular Velocity - [0.00603857, -0.00891534, 0.00503238]
1744200970.018071078 Received IMU Angular Velocity - [-0.00248355, -0.00252375, 0.00609764]
1744200970.022288765 Received IMU Angular Velocity - [0.00177751, 0.00386783, 0.00716291]
1744200970.028037964 Received IMU Angular Velocity - [-0.00141829, 0.0049331, 0.00503238]
1744200970.032056796 Received IMU Angular Velocity - [0.0049733, 0.0017373, 0.00290185]
1744200970.038067636 Received IMU Angular Velocity - [0.00603857, -0.00465428, 0.00290185]
1744200970.042253514 Received IMU Angular Velocity - [0.00710383, -0.00891534, 0.00609764]
1744200970.048022394 Received IMU Angular Velocity - [0.00710383, -0.00678481, 0.00609764]
1744200970.052388022 Received IMU Angular Velocity - [-0.000353022, 0.000672041, 0.00290185]
1744200970.058029473 Received IMU Angular Velocity - [-0.00248355, 0.0049331, 0.00183658]
1744200970.062379613 Received IMU Angular Velocity - [0.000712243, 0.00386783, 0.00609764]
1744200970.068083530 Received IMU Angular Velocity - [0.00603857, -0.00252375, 0.00716291]
1744200970.072251520 Received IMU Angular Velocity - [0.0102996, -0.00785008, 0.00503238]
1744200970.078018287 Received IMU Angular Velocity - [0.00816909, -0.0099806, 0.00503238]
1744200970.082328234 Received IMU Angular Velocity - [-0.000353022, -0.00358902, 0.00609764]
1744200970.087906354 Received IMU Angular Velocity - [-0.00354881, 0.00386783, 0.00396711]
1744200970.092293519 Received IMU Angular Velocity - [-0.00248355, 0.00706363, 0.00609764]
1744200970.188027454 Received IMU Angular Velocity - [-0.00461408, 0.0049331, 0.00396711]
1744200970.192392954 Received IMU Angular Velocity - [-0.00354881, 0.00812889, 0.00290185]
1744200970.197874687 Received IMU Angular Velocity - [0.00177751, 0.00599836, 0.00503238]
1744200970.202210459 Received IMU Angular Velocity - [0.00923436, -0.000393224, 0.00609764]
1744200970.207861446 Received IMU Angular Velocity - [0.00923436, -0.00891534, 0.00183658]
1744200970.212245667 Received IMU Angular Velocity - [0.00603857, -0.0099806, 0.000771319]
1744200970.218013362 Received IMU Angular Velocity - [0.00177751, -0.00358902, 0.00609764]
1744200970.222383727 Received IMU Angular Velocity - [-0.00354881, 0.00386783, 0.00822817]
1744200970.228021594 Received IMU Angular Velocity - [0.00710383, 0.00599836, 0.00609764]
1744200970.232439993 Received IMU Angular Velocity - [0.00603857, 0.0049331, 0.00183658]
1744200970.238047586 Received IMU Angular Velocity - [0.00603857, -0.00252375, 0.00396711]
1744200970.242135925 Received IMU Angular Velocity - [0.0049733, -0.00785008, 0.00503238]
1744200970.248019208 Received IMU Angular Velocity - [0.00603857, -0.00785008, 0.00503238]
1744200970.252322883 Received IMU Angular Velocity - [0.00177751, -0.00358902, 0.00503238]
1744200970.257837129 Received IMU Angular Velocity - [-0.000353022, 0.00386783, 0.00503238]
1744200970.262249351 Received IMU Angular Velocity - [0.00284277, 0.00599836, 0.00183658]
1744200970.278048638 Received IMU Angular Velocity - [0.00816909, -0.0099806, 0.00503238]
1744200970.282278486 Received IMU Angular Velocity - [0.0049733, -0.00571955, 0.00396711]
1744200970.288060166 Received IMU Angular Velocity - [-0.00354881, 0.00280257, 0.00503238]
1744200970.292235772 Received IMU Angular Velocity - [-0.00248355, 0.00599836, 0.00503238]
1744200970.298041260 Received IMU Angular Velocity - [0.00284277, 0.00599836, 0.00290185]
1744200970.302224963 Received IMU Angular Velocity - [0.00923436, 0.0017373, 0.00396711]
1744200970.308156120 Received IMU Angular Velocity - [0.00603857, -0.00465428, 0.00396711]
-------------------------
[2025-04-09_20-16-12.082] No B-spline trajectory received.
-------------------------
1744200970.312182568 Received IMU Angular Velocity - [0.00710383, -0.0099806, 0.00503238]
1744200970.318166399 Received IMU Angular Velocity - [-0.000353022, -0.00465428, 0.00503238]
1744200970.322265810 Received IMU Angular Velocity - [-0.00567934, 0.00386783, 0.00290185]
1744200970.458040191 Received IMU Angular Velocity - [0.00390804, 0.0049331, 0.00503238]
1744200970.462263094 Received IMU Angular Velocity - [0.00390804, 0.0049331, 0.00503238]
1744200970.468060806 Received IMU Angular Velocity - [0.00603857, -0.00358902, 0.00396711]
1744200970.472210235 Received IMU Angular Velocity - [0.00603857, -0.00358902, 0.00396711]
1744200970.478042477 Received IMU Angular Velocity - [0.00390804, -0.00785008, 0.00609764]
1744200970.482351112 Received IMU Angular Velocity - [0.00390804, -0.00785008, 0.00609764]
1744200970.487889519 Received IMU Angular Velocity - [-0.00141829, 0.00599836, 0.00503238]
1744200970.492183305 Received IMU Angular Velocity - [-0.00141829, 0.00599836, 0.00503238]
1744200970.498158143 Received IMU Angular Velocity - [0.00177751, 0.0017373, 0.00183658]
1744200970.502290452 Received IMU Angular Velocity - [0.00177751, 0.0017373, 0.00183658]
1744200970.528054737 Received IMU Angular Velocity - [0.000712243, 0.00599836, 0.00396711]
1744200970.532246760 Received IMU Angular Velocity - [0.000712243, 0.00599836, 0.00396711]
1744200970.538122907 Received IMU Angular Velocity - [0.0102996, -0.00571955, 0.00503238]
1744200970.542390228 Received IMU Angular Velocity - [0.0102996, -0.00571955, 0.00503238]
1744200970.548064864 Received IMU Angular Velocity - [0.00177751, -0.00465428, 0.00290185]
1744200970.552200564 Received IMU Angular Velocity - [0.00177751, -0.00465428, 0.00290185]
1744200970.558024709 Received IMU Angular Velocity - [0.00177751, 0.0049331, 0.00822817]
1744200970.562323744 Received IMU Angular Velocity - [0.00923436, 0.00386783, 0.000771319]
1744200970.567918281 Received IMU Angular Velocity - [0.0102996, -0.00145849, 0.00290185]
1744200970.572216291 Received IMU Angular Velocity - [0.0102996, -0.00145849, 0.00290185]
1744200970.578024852 Received IMU Angular Velocity - [0.00603857, -0.00891534, 0.00609764]
1744200970.582240171 Received IMU Angular Velocity - [0.000712243, -0.00252375, 0.00396711]
1744200970.588040027 Received IMU Angular Velocity - [-0.000353022, 0.00386783, 0.00609764]
1744200970.592345302 Received IMU Angular Velocity - [-0.00141829, 0.00599836, 0.00503238]
1744200970.598049667 Received IMU Angular Velocity - [0.00390804, 0.00386783, 0.00290185]
1744200970.602129141 Received IMU Angular Velocity - [0.00603857, -0.00358902, 0.00396711]
1744200970.608045130 Received IMU Angular Velocity - [0.00816909, -0.00891534, 0.00609764]
1744200970.612314531 Received IMU Angular Velocity - [0.00603857, -0.0099806, 0.00503238]
1744200970.618180470 Received IMU Angular Velocity - [0.000712243, -0.00252375, 0.00290185]
1744200970.622247528 Received IMU Angular Velocity - [-0.00248355, 0.0049331, 0.00396711]
1744200970.628049944 Received IMU Angular Velocity - [0.000712243, 0.00599836, 0.00716291]
1744200970.632305841 Received IMU Angular Velocity - [0.00284277, 0.0049331, 0.00716291]
1744200970.638039263 Received IMU Angular Velocity - [0.00923436, -0.00358902, 0.00290185]
1744200970.642262423 Received IMU Angular Velocity - [0.00603857, -0.00891534, 0.00716291]
1744200970.648079335 Received IMU Angular Velocity - [0.000712243, -0.00571955, 0.00503238]
1744200970.682247411 Received IMU Angular Velocity - [0.000712243, -0.00465428, 0.00929343]
1744200970.687904670 Received IMU Angular Velocity - [0.00177751, 0.0017373, 0.00609764]
1744200970.692331005 Received IMU Angular Velocity - [-0.000353022, 0.00706363, 0.00503238]
1744200970.698051722 Received IMU Angular Velocity - [0.00390804, 0.00386783, 0.00396711]
1744200970.702194975 Received IMU Angular Velocity - [0.00816909, -0.00252375, 0.00503238]
1744200970.708447391 Received IMU Angular Velocity - [0.00923436, -0.00785008, 0.00609764]
1744200970.712326123 Received IMU Angular Velocity - [0.00816909, -0.00891534, 0.00396711]
1744200970.718042840 Received IMU Angular Velocity - [-0.000353022, -0.00252375, 0.00609764]
1744200970.722355923 Received IMU Angular Velocity - [-0.00354881, 0.00386783, 0.00396711]
1744200970.832487654 Received IMU Angular Velocity - [-0.000353022, 0.00386783, 0.00609764]
1744200970.838061230 Received IMU Angular Velocity - [0.00923436, -0.00145849, 0.00396711]
1744200970.842126176 Received IMU Angular Velocity - [0.00923436, -0.00891534, 0.00503238]
1744200970.848137624 Received IMU Angular Velocity - [0.00710383, -0.00785008, 0.00396711]
1744200970.852362640 Received IMU Angular Velocity - [-0.00141829, -0.00252375, 0.00396711]
1744200970.858163904 Received IMU Angular Velocity - [-0.00248355, 0.0049331, 0.00503238]
1744200970.862198193 Received IMU Angular Velocity - [0.00603857, 0.00280257, 0.00716291]
1744200970.868037155 Received IMU Angular Velocity - [0.00603857, 0.0017373, 0.00290185]
1744200970.872330813 Received IMU Angular Velocity - [0.00923436, -0.00571955, 0.00503238]
1744200970.878043434 Received IMU Angular Velocity - [0.0049733, -0.0099806, 0.00609764]
1744200970.882187231 Received IMU Angular Velocity - [-0.000353022, -0.00571955, 0.00609764]
1744200970.888040593 Received IMU Angular Velocity - [-0.00248355, 0.0017373, 0.00503238]
1744200971.162337676 Received IMU Angular Velocity - [-0.00248355, 0.0049331, 0.00716291]
1744200971.168080922 Received IMU Angular Velocity - [0.0049733, 0.00386783, 0.00609764]
1744200971.172388693 Received IMU Angular Velocity - [0.00390804, -0.00145849, 0.00396711]
1744200971.179284332 Received IMU Angular Velocity - [0.00603857, -0.00571955, 0.00716291]
1744200971.182310585 Received IMU Angular Velocity - [0.00710383, -0.00891534, 0.00503238]
1744200971.188133578 Received IMU Angular Velocity - [-0.00141829, -0.00358902, 0.00290185]
1744200971.192440997 Received IMU Angular Velocity - [-0.00354881, 0.0049331, 0.00183658]
1744200971.197904105 Received IMU Angular Velocity - [0.000712243, 0.00599836, 0.00609764]
1744200971.202208068 Received IMU Angular Velocity - [0.00816909, 0.00280257, 0.00503238]
1744200971.208171194 Received IMU Angular Velocity - [0.0113649, -0.00358902, -0.000293946]
1744200971.332591662 Received IMU Angular Velocity - [0.00603857, 0.00706363, 0.00396711]
1744200971.337955182 Received IMU Angular Velocity - [0.00390804, 0.00599836, 0.000771319]
1744200971.342269385 Received IMU Angular Velocity - [0.00390804, -0.00145849, 0.00396711]
1744200971.348098907 Received IMU Angular Velocity - [0.0049733, -0.00785008, 0.00396711]
1744200971.352434582 Received IMU Angular Velocity - [0.0049733, -0.00678481, 0.00396711]
1744200971.358106498 Received IMU Angular Velocity - [0.00177751, -0.00145849, 0.00609764]
1744200971.362328890 Received IMU Angular Velocity - [0.000712243, 0.00386783, 0.00503238]
1744200971.368089417 Received IMU Angular Velocity - [0.000712243, 0.00599836, 0.00183658]
1744200971.372409636 Received IMU Angular Velocity - [0.00177751, 0.00386783, 0.00290185]
1744200971.378120945 Received IMU Angular Velocity - [0.00923436, -0.00891534, 0.00609764]
Received Odometry - Position: x=0.12005, y=0.0699512, Linear Velocity: 0.00099781
Current yaw: 7.05551e-05 (roll: -0.00468964, pitch: -0.00669533)
1744200971.382280102 Received IMU Angular Velocity - [0.00923436, -0.00891534, 0.00609764]
1744200971.388151929 Received IMU Angular Velocity - [-0.00141829, 0.0017373, 0.00609764]
1744200971.392357424 Received IMU Angular Velocity - [-0.00141829, 0.0017373, 0.00609764]
1744200971.398240995 Received IMU Angular Velocity - [0.000712243, 0.0049331, 0.00396711]
1744200971.402345751 Received IMU Angular Velocity - [0.000712243, 0.0049331, 0.00396711]
1744200971.408079013 Received IMU Angular Velocity - [0.00816909, -0.00891534, 0.00503238]
1744200971.412349566 Received IMU Angular Velocity - [0.00816909, -0.00891534, 0.00503238]
1744200971.418123213 Received IMU Angular Velocity - [0.000712243, -0.00571955, 0.00290185]
1744200971.422355173 Received IMU Angular Velocity - [0.000712243, -0.00571955, 0.00290185]
1744200971.428192023 Received IMU Angular Velocity - [-0.000353022, 0.0049331, 0.00503238]
1744200971.432689305 Received IMU Angular Velocity - [-0.000353022, 0.0049331, 0.00503238]
1744200971.438118523 Received IMU Angular Velocity - [0.00284277, -0.00145849, 0.00183658]
1744200971.442245968 Received IMU Angular Velocity - [0.00284277, -0.00145849, 0.00183658]
1744200971.448224518 Received IMU Angular Velocity - [0.00710383, -0.00891534, 0.00822817]
1744200971.452162196 Received IMU Angular Velocity - [0.00710383, -0.00891534, 0.00822817]
1744200971.458059432 Received IMU Angular Velocity - [-0.000353022, 0.00386783, 0.00396711]
1744200971.462392675 Received IMU Angular Velocity - [-0.000353022, 0.00386783, 0.00396711]
1744200971.468039566 Received IMU Angular Velocity - [0.00390804, 0.00386783, -0.000293946]
1744200971.472349033 Received IMU Angular Velocity - [0.00390804, 0.00386783, -0.000293946]
1744200971.478174042 Received IMU Angular Velocity - [0.00816909, -0.00891534, 0.00503238]
1744200971.482439731 Received IMU Angular Velocity - [0.00816909, -0.00891534, 0.00503238]
1744200971.487996635 Received IMU Angular Velocity - [-0.00141829, 0.000672041, 0.00290185]
1744200971.492315382 Received IMU Angular Velocity - [-0.00141829, 0.000672041, 0.00290185]
1744200971.498151527 Received IMU Angular Velocity - [-0.00141829, 0.00599836, 0.00609764]
1744200971.502470850 Received IMU Angular Velocity - [0.00603857, 0.000672041, 0.00822817]
1744200971.508067851 Received IMU Angular Velocity - [0.0124302, -0.00678481, 0.00396711]
1744200971.512437064 Received IMU Angular Velocity - [0.00923436, -0.00891534, 0.00396711]
1744200971.518052722 Received IMU Angular Velocity - [0.00177751, -0.00678481, 0.00609764]
1744200971.522326412 Received IMU Angular Velocity - [-0.00354881, 0.000672041, 0.00503238]
1744200971.528134716 Received IMU Angular Velocity - [-0.00354881, 0.00599836, 0.00503238]
1744200971.532360020 Received IMU Angular Velocity - [0.00284277, 0.0049331, 0.00503238]
1744200971.538112930 Received IMU Angular Velocity - [0.00390804, 0.000672041, 0.00396711]
1744200971.542471167 Received IMU Angular Velocity - [0.00816909, -0.00571955, 0.00290185]
1744200971.548732384 Received IMU Angular Velocity - [0.00603857, -0.0099806, 0.00609764]
1744200971.552494855 Received IMU Angular Velocity - [0.00177751, -0.00465428, 0.00716291]
1744200971.558107856 Received IMU Angular Velocity - [-0.000353022, 0.0017373, 0.00609764]
1744200971.562398187 Received IMU Angular Velocity - [0.00177751, 0.00599836, 0.00183658]
1744200971.568146521 Received IMU Angular Velocity - [0.000712243, 0.00386783, 0.00396711]
1744200971.573336339 Received IMU Angular Velocity - [0.00284277, -0.00145849, 0.00503238]
1744200971.578079870 Received IMU Angular Velocity - [0.0102996, -0.00678481, 0.00290185]
1744200971.582636129 Received IMU Angular Velocity - [0.00284277, -0.00785008, 0.00503238]
1744200971.594821367 Received IMU Angular Velocity - [-0.000353022, 0.000672041, 0.00716291]
1744200971.595183620 Received IMU Angular Velocity - [-0.00461408, 0.00599836, 0.00396711]
1744200971.600415680 Received IMU Angular Velocity - [-0.000353022, 0.00706363, 0.00183658]
1744200971.602389319 Received IMU Angular Velocity - [0.00603857, 0.0017373, 0.00609764]
1744200971.608216184 Received IMU Angular Velocity - [0.0113649, -0.00678481, 0.00716291]
1744200971.612453680 Received IMU Angular Velocity - [0.00923436, -0.0099806, 0.00290185]
1744200971.618111803 Received IMU Angular Velocity - [0.00284277, -0.00785008, 0.00396711]
1744200971.622215951 Received IMU Angular Velocity - [-0.00248355, -0.000393224, 0.00716291]
1744200971.628926880 Received IMU Angular Velocity - [-0.00461408, 0.00706363, 0.00503238]
1744200971.632601924 Received IMU Angular Velocity - [0.00177751, 0.00706363, 0.00396711]
1744200971.638190988 Received IMU Angular Velocity - [0.00390804, 0.0017373, 0.00503238]
1744200971.642487111 Received IMU Angular Velocity - [0.00603857, -0.00571955, 0.00396711]
1744200971.648619619 Received IMU Angular Velocity - [0.00816909, -0.00891534, 0.00290185]
1744200971.652445324 Received IMU Angular Velocity - [0.00177751, -0.00465428, 0.00396711]
1744200971.658096567 Received IMU Angular Velocity - [-0.00248355, 0.000672041, 0.00716291]
1744200971.662217899 Received IMU Angular Velocity - [0.00284277, 0.0049331, 0.00609764]
1744200971.668112735 Received IMU Angular Velocity - [0.00284277, 0.0049331, 0.00183658]
1744200971.672584448 Received IMU Angular Velocity - [0.0049733, -0.00145849, 0.00396711]
1744200971.677939872 Received IMU Angular Velocity - [0.00710383, -0.00678481, 0.00822817]
